,timestamp,open,high,low,close,volume,RSI_14,sma_7,RSI_Trend,ub,mb,lb,ub_tren,lb_tren,3_ub_point,3_lb_point,divergence_angle,divergence_col
67,2020-04-21 14:30:00,1190.58,1199.03,1188.72,1195.73,1133175,53.30393839392725,1182.3742857142859,3.127658970199782,1210.935697125567,1189.292,1167.6483028744328,-1.0,0.0,"1212.1333217165936,1211.8261139464569,1210.935697125567","1167.4736782834063,1167.3908860535428,1167.6483028744328",5.097673512348479,
66,2020-04-21 14:45:00,1195.6,1213.8,1194.25,1213.8,1828269,62.57690774777066,1187.6885714285713,9.272969353843415,1214.338402828469,1190.1969999999997,1166.0555971715303,3.0,-2.0,"1211.8261139464569,1210.935697125567,1214.338402828469","1167.3908860535428,1167.6483028744328,1166.0555971715303",34.239161223053685,divergence
65,2020-04-21 15:00:00,1214.0,1249.0,1213.7,1243.35,4308156,72.27347525871808,1198.202857142857,9.696567510947418,1226.4985788416543,1192.6144999999997,1158.730421158345,12.0,-7.0,"1210.935697125567,1214.338402828469,1226.4985788416543","1167.6483028744328,1166.0555971715303,1158.730421158345",58.79689231416674,divergence
64,2020-04-21 15:15:00,1243.0,1252.0,1240.1,1251.0,2222704,74.14145063255475,1208.782857142857,1.8679753738366713,1238.1392362601873,1195.3444999999997,1152.549763739812,12.0,-6.0,"1214.338402828469,1226.4985788416543,1238.1392362601873","1166.0555971715303,1158.730421158345,1152.549763739812",5.557052628768162,
63,2020-04-22 09:15:00,1311.1,1338.8,1300.35,1313.5,4251924,83.7649441868381,1227.3685714285714,9.623493554283343,1268.9332000370853,1200.8894999999998,1132.8457999629143,31.0,-20.0,"1226.4985788416543,1238.1392362601873,1268.9332000370853","1158.730421158345,1152.549763739812,1132.8457999629143",53.89153818099919,divergence
62,2020-04-22 09:30:00,1313.55,1317.19,1301.68,1304.4,3052253,79.14639273615796,1244.6542857142856,-4.61855145068013,1288.2701215707184,1205.9494999999997,1123.628878429281,19.0,-9.0,"1238.1392362601873,1268.9332000370853,1288.2701215707184","1152.549763739812,1132.8457999629143,1123.628878429281",29.61254559369081,divergence
61,2020-04-22 09:45:00,1303.8,1314.15,1303.0,1310.0,1372466,79.88153214393213,1261.6828571428573,0.7351394077741702,1305.8715246211127,1211.3919999999996,1116.9124753788865,18.0,-7.0,"1268.9332000370853,1288.2701215707184,1305.8715246211127","1132.8457999629143,1123.628878429281,1116.9124753788865",10.859572898183728,
60,2020-04-22 10:00:00,1309.8,1313.55,1305.0,1310.75,1123585,79.98330659550268,1278.1142857142859,0.10177445157054876,1321.1025684710648,1216.9919999999997,1112.8814315289346,15.0,-4.0,"1288.2701215707184,1305.8715246211127,1321.1025684710648","1123.628878429281,1116.9124753788865,1112.8814315289346",15.44220961758694,
59,2020-04-22 10:15:00,1311.0,1319.9,1310.05,1312.8,1311355,80.276999952979,1292.257142857143,0.29369335747631453,1334.7914992845976,1222.8649999999996,1110.9385007154015,14.0,-2.0,"1305.8715246211127,1321.1025684710648,1334.7914992845976","1116.9124753788865,1112.8814315289346,1110.9385007154015",13.645527565384072,
58,2020-04-22 10:30:00,1313.0,1324.9,1312.9,1321.25,1404001,81.48303290241134,1303.3857142857144,1.2060329494323412,1348.5036092093958,1229.0574999999994,1109.611390790603,14.0,-1.0,"1321.1025684710648,1334.7914992845976,1348.5036092093958","1112.8814315289346,1110.9385007154015,1109.611390790603",3.300907798151343,
57,2020-04-22 10:45:00,1321.35,1323.6,1317.3,1322.8,825202,81.70403741097148,1313.642857142857,0.2210045085601422,1360.7627342217484,1235.4174999999996,1110.0722657782508,12.0,0.0,"1334.7914992845976,1348.5036092093958,1360.7627342217484","1110.9385007154015,1109.611390790603,1110.0722657782508",13.124670673813853,
56,2020-04-22 11:00:00,1322.75,1337.85,1322.75,1337.5,1907753,83.69197590357282,1317.0714285714287,1.9879384926013444,1373.4443670204662,1243.4924999999996,1113.540632979533,13.0,3.0,"1348.5036092093958,1360.7627342217484,1373.4443670204662","1109.611390790603,1110.0722657782508,1113.540632979533",17.263432014365577,
55,2020-04-22 11:15:00,1337.35,1340.55,1325.1,1332.4,2242961,80.42694875379757,1321.0714285714287,-3.26502714977525,1383.2000261687162,1251.1459999999995,1119.0919738312828,10.0,6.0,"1360.7627342217484,1373.4443670204662,1383.2000261687162","1110.0722657782508,1113.540632979533,1119.0919738312828",17.185274917430036,
54,2020-04-22 11:30:00,1332.75,1333.93,1323.07,1329.75,1245504,78.70869977315729,1323.892857142857,-1.7182489806402828,1390.0901555403661,1258.9959999999996,1127.9018444596331,7.0,9.0,"1373.4443670204662,1383.2000261687162,1390.0901555403661","1113.540632979533,1119.0919738312828,1127.9018444596331",21.896131384363628,
53,2020-04-22 11:45:00,1329.65,1334.8,1327.15,1327.35,778724,77.10212515279018,1326.2642857142857,-1.6065746203671125,1394.9889881374522,1266.5334999999995,1138.0780118625469,5.0,10.0,"1383.2000261687162,1390.0901555403661,1394.9889881374522","1119.0919738312828,1127.9018444596331,1138.0780118625469",12.412301176517076,
52,2020-04-22 12:00:00,1327.45,1334.0,1326.0,1331.2,605288,77.88205772011756,1328.8928571428573,0.7799325673273785,1397.6295444132525,1274.6059999999995,1151.5824555867466,3.0,14.0,"1390.0901555403661,1394.9889881374522,1397.6295444132525","1127.9018444596331,1138.0780118625469,1151.5824555867466",19.11488891946189,
51,2020-04-22 12:15:00,1331.25,1338.0,1330.35,1337.4,816474,79.11572199180212,1331.2000000000003,1.2336642716845603,1399.6151283544675,1282.6289999999997,1165.6428716455318,2.0,14.0,"1394.9889881374522,1397.6295444132525,1399.6151283544675","1138.0780118625469,1151.5824555867466,1165.6428716455318",4.4797050328403145,
50,2020-04-22 12:30:00,1337.99,1349.73,1336.97,1347.94,2253962,81.0507121669832,1334.791428571429,1.9349901751810847,1401.4265721580923,1290.8559999999995,1180.2854278419068,2.0,15.0,"1397.6295444132525,1399.6151283544675,1401.4265721580923","1151.5824555867466,1165.6428716455318,1180.2854278419068",1.8717623127216712,
49,2020-04-22 12:45:00,1347.5,1349.95,1344.0,1347.6,1659497,80.79067016635739,1336.2342857142862,-0.26004200062581617,1400.0066306801414,1299.0659999999993,1198.1253693198573,-1.0,18.0,"1399.6151283544675,1401.4265721580923,1400.0066306801414","1165.6428716455318,1180.2854278419068,1198.1253693198573",23.2367795784796,
48,2020-04-22 13:00:00,1348.0,1361.05,1347.6,1361.05,3911535,83.10054016136371,1340.3271428571431,2.3098699950063235,1398.2706203041507,1307.5784999999994,1216.886379695848,-2.0,19.0,"1401.4265721580923,1400.0066306801414,1398.2706203041507","1180.2854278419068,1198.1253693198573,1216.886379695848",2.799578749437188,
47,2020-04-22 13:15:00,1361.05,1384.5,1359.45,1375.55,4535334,85.17079410335893,1346.8700000000003,2.070253941995219,1395.4595827534201,1316.5694999999994,1237.6794172465786,-3.0,21.0,"1400.0066306801414,1398.2706203041507,1395.4595827534201","1198.1253693198573,1216.886379695848,1237.6794172465786",8.04820954946453,
46,2020-04-22 13:30:00,1375.64,1380.9,1357.08,1363.09,3124060,76.49842032748502,1351.9757142857145,-8.672373775873908,1389.0044808760294,1324.0339999999994,1259.0635191239694,-6.0,21.0,"1398.2706203041507,1395.4595827534201,1389.0044808760294","1216.886379695848,1237.6794172465786,1259.0635191239694",17.58996585528496,
45,2020-04-22 13:45:00,1363.15,1363.15,1347.1,1354.4,3266659,71.06364973173105,1355.2900000000002,-5.4347705957539745,1383.5769612530319,1329.5864999999997,1275.5960387469675,-5.0,17.0,"1395.4595827534201,1389.0044808760294,1383.5769612530319","1237.6794172465786,1259.0635191239694,1275.5960387469675",10.28026322063522,
44,2020-04-22 14:00:00,1355.05,1368.75,1355.05,1361.2,1715206,72.69818426573391,1358.6900000000003,1.6345345340028672,1376.2955813770784,1335.0964999999997,1293.897418622921,-7.0,18.0,"1389.0044808760294,1383.5769612530319,1376.2955813770784","1259.0635191239694,1275.5960387469675,1293.897418622921",9.907244671712846,
43,2020-04-22 14:15:00,1361.2,1365.6,1360.0,1361.85,884323,72.856022770268,1360.677142857143,0.15783850453408377,1379.0501232258248,1337.5139999999997,1295.9778767741745,3.0,2.0,"1383.5769612530319,1376.2955813770784,1379.0501232258248","1275.5960387469675,1293.897418622921,1295.9778767741745",100.92389050920431,
42,2020-04-22 14:30:00,1361.55,1372.4,1361.4,1366.0,1536769,73.89375489419845,1363.3057142857144,1.0377321239304536,1380.9088724809742,1340.5939999999996,1300.279127519025,2.0,4.0,"1376.2955813770784,1379.0501232258248,1380.9088724809742","1293.897418622921,1295.9778767741745,1300.279127519025",16.217730362606375,
41,2020-04-22 14:45:00,1366.1,1370.0,1365.0,1369.15,933541,74.68486894694877,1364.4628571428573,0.7911140527503164,1383.0873295992958,1343.5514999999996,1304.0156704007034,2.0,4.0,"1379.0501232258248,1380.9088724809742,1383.0873295992958","1295.9778767741745,1300.279127519025,1304.0156704007034",4.364994006903515,
